¿¬µµ(y),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1904,190401,70237,190402,51424,190403,60851,190404,51418,190405,60818,190406,61301,190407,72331,190408,80911,190409,81138,190410,90235,190411,80505,190412,72125
1905,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1906,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1907,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1908,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1909,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1910,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1911,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1912,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1913,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1914,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1915,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1916,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1917,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1918,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1919,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1920,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1921,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1922,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1923,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1924,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1925,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1926,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1927,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1928,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1929,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1930,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1931,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1932,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1933,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1934,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1935,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1936,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1937,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1938,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1939,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1940,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1941,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1942,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1943,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1944,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1945,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1946,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1947,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1948,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1949,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1950,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1951,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1952,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1953,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1954,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1955,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1956,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1957,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1958,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1959,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1960,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1961,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1962,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1963,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1964,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1965,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1966,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1967,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1968,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1969,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1970,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1971,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1972,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1973,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1974,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1975,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1976,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1977,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1978,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1979,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1980,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1981,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1982,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1983,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1984,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
1985,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,80310
